PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
288. Rickard Rakell,Rickard.Rakell,26,"RW, LW",Right,65,15,27,42,0.65,-5,186,0.08,18:09,3789444,"$3,800,000 "
290. Brendan Gallagher,Brendan.Gallagher,27,RW,Right,59,22,21,43,0.73,9,226,0.1,16:54,3750000,"$4,000,000 "
291. Mattias Ekholm,Mattias.Ekholm,29,LD,Left,68,8,25,33,0.49,-1,154,0.05,23:22,3750000,"$4,000,000 "
292. Tanner Pearson,Tanner.Pearson,26,LW,Left,69,21,24,45,0.65,-4,164,0.13,16:30,3750000,"$3,850,000 "
293. Boone Jenner,Boone.Jenner,26,"C, LW",Left,70,11,13,24,0.34,-14,179,0.06,18:06,3750000,"$4,000,000 "
294. Will Butcher,Will.Butcher,24,LD,Left,56,4,17,21,0.38,-8,62,0.06,17:55,3733333,"$3,500,000 "
296. Sam Reinhart,Sam.Reinhart,23,"C, RW",Right,69,22,28,50,0.72,-15,144,0.15,20:37,3650000,"$3,750,000 "
298. Vladimír Sobotka,Vladimír.Sobotka,31,"LW, C",Left,16,1,2,3,0.19,2,23,0.04,14:15,3500000,"$3,000,000 "
299. Lars Eller,Lars.Eller,30,C,Left,69,16,23,39,0.57,3,151,0.11,17:00,3500000,"$4,000,000 "
300. Alexander Kerfoot,Alexander.Kerfoot,24,"LW, C",Left,65,9,19,28,0.43,-2,88,0.1,14:46,3500000,"$5,000,000 "
301. Ron Hainsey,Ron.Hainsey,38,RD,Left,64,1,11,12,0.19,10,43,0.02,20:40,3500000,"$3,500,000 "
302. Cal Clutterbuck,Cal.Clutterbuck,31,RW,Right,37,3,4,7,0.19,6,35,0.09,13:25,3500000,"$3,500,000 "
303. Brandon Tanev,Brandon.Tanev,27,"RW, LW",Left,68,11,14,25,0.37,-1,95,0.12,14:45,3500000,"$3,500,000 "
304. Brett Connolly,Brett.Connolly,27,"RW, LW",Right,69,19,14,33,0.48,-3,117,0.16,14:29,3500000,"$3,500,000 "
305. Bryan Rust,Bryan.Rust,27,"RW, LW",Right,55,27,29,56,1.02,14,151,0.18,19:45,3500000,"$3,500,000 "
306. Ben Chiarot,Ben.Chiarot,28,LD/RD,Left,69,9,12,21,0.3,5,130,0.07,23:08,3500000,"$3,500,000 "
307. J.T. Compher,Jompher.Compher,24,"RW, LW",Right,67,11,20,31,0.46,9,106,0.1,16:44,3500000,"$3,400,000 "
308. Micheal Ferland,Micheal.Ferland,27,"LW, RW",Left,14,1,4,5,0.36,-3,15,0.07,9:47,3500000,"$4,500,000 "
310. Paul Byron,Paul.Byron,30,"LW, RW, C",Left,29,4,6,10,0.34,5,29,0.14,14:19,3400000,"$4,000,000 "
311. Andreas Johnsson,Andreas.Johnsson,24,"LW, RW",Left,43,8,13,21,0.49,0,78,0.1,15:45,3400000,"$5,000,000 "
312. Brandon Montour,Brandon.Montour,25,LD/RD,Right,54,5,13,18,0.33,13,86,0.06,19:29,3387500,"$3,525,000 "
313. Ryan Dzingel,Ryan.Dzingel,27,"LW, RW, C",Left,64,8,21,29,0.45,3,98,0.08,14:09,3375000,"$3,250,000 "
314. Sven Baertschi,Sven.Baertschi,26,LW,Left,6,0,2,2,0.33,-2,7,0,11:49,3366666,"$3,700,000 "
315. Radko Gudas,Radko.Gudas,29,RD,Right,63,2,13,15,0.24,15,90,0.02,16:43,3350000,"$2,500,000 "
316. Michael Grabner,Michael.Grabner,31,"LW, RW",Left,46,8,3,11,0.24,-4,61,0.13,12:22,3350000,"$3,775,000 "
317. Casey Cizikas,Casey.Cizikas,28,C,Left,48,10,4,14,0.29,12,67,0.15,14:17,3350000,"$3,750,000 "
318. Jakub Vrána,Jakub.Vrána,23,LW,Left,69,25,27,52,0.75,3,187,0.13,14:52,3350000,"$3,700,000 "
321. Anthony Mantha,Anthony.Mantha,24,"RW, LW",Left,43,16,22,38,0.88,-7,137,0.12,18:53,3300000,"$3,300,000 "
322. Brenden Dillon,Brenden.Dillon,28,LD,Left,69,1,13,14,0.2,-2,58,0.02,19:27,3270000,"$3,900,000 "
323. Jack Johnson,Jack.Johnson,32,LD,Left,67,3,8,11,0.16,-1,63,0.05,19:27,3250000,"$4,000,000 "
324. Zack Smith,Zack.Smith,31,"LW, C",Left,50,4,7,11,0.22,2,43,0.09,11:47,3250000,"$3,250,000 "
325. Eric Staal,Eric.Staal,34,C,Left,66,19,28,47,0.71,-9,113,0.17,17:08,3250000,"$3,500,000 "
326. André Burakovsky,André.Burakovsky,24,"LW, RW",Left,58,20,25,45,0.78,11,103,0.19,15:12,3250000,"$3,250,000 "
327. Travis Sanheim,Travis.Sanheim,23,LD,Left,69,8,17,25,0.36,4,110,0.07,20:09,3250000,"$3,250,000 "
328. Pavel Buchnevich,Pavel.Buchnevich,24,"RW, LW",Left,68,16,30,46,0.68,2,148,0.11,16:55,3250000,"$3,000,000 "
329. Andrew Cogliano,Andrew.Cogliano,32,LW,Left,68,3,11,14,0.21,2,68,0.04,12:28,3250000,"$3,250,000 "
330. Jay Bouwmeester,Jay.Bouwmeester,35,LD,Left,56,1,8,9,0.16,6,53,0.02,21:34,3250000,"$3,250,000 "
